year;total;birth;death
1946;40125230;843904;545880
1947;40448254;870472;538157
1948;40910569;870836;513210
1949;41313195;872661;573598
1950;41647258;862310;534480
1951;42010088;826722;565829
1952;42300981;822204;524831
1953;42618354;804696;556983
1954;42885138;810754;518892
1955;43227872;805917;526322
1956;43627467;806916;545700
1957;44058683;816467;532107
1958;44563043;812215;500596
1959;45014662;829249;509114
1960;45464797;819819;520960
1961;45903656;838633;500289
1962;46422000;832353;541147
1963;47573406;868876;557852
1964;48059029;877804;520033
1965;48561800;865688;543696
1966;48953792;863527;528782
1967;49373537;840568;543033
1968;49723072;835796;553441
1969;50107735;842245;573335
1970;50528219;850381;542277
1971;51016234;881284;554151
1972;51485953;877506;549900
1973;51915873;857186;558782
1974;52320725;801218;552551
1975;52600000;745065;560353
1976;52798338;720395;557114
1977;53019005;744744;536221
1978;53271566;737062;546916
1979;53481073;757354;541805
1980;53731387;800376;547107
1981;54028630;805483;554823
1982;54335000;797223;543104
1983;54649984;748525;559655
1984;54894854;759939;542490
1985;55157303;768431;552496
1986;55411238;778468;546926
1987;55681780;767828;527466
1988;55966142;771268;524600
1989;56269810;765473;529283
1990;56577000;762407;526201
1991;56840661;759056;524685
1992;57110533;743658;521530
1993;57369161;711610;532263
1994;57565008;710993;519965
1995;57752535;729609;531618
1996;57935959;734338;535775
1997;58116018;726768;530319
1998;58298962;738080;534005
1999;58496613;744791;537661
2000;58858198;774782;530864
2001;59266572;770945;531073
2002;59685899;761630;535144
2003;60101841;761464;552339
2004;60505421;767816;509429
2005;60963264;774355;527533
2006;61399733;796896;516416
2007;61795238;785985;521016
2008;62134866;796044;532131
2009;62465709;793420;538116
2010;62765235;802224;540469
2011;63070344;792996;534795
2012;63375971;790290;559227
2013;63697865;781621;558408
2014;64027784;781167;547003
2015;64343948;760421;581770
2016;64604599;747000;574000
