;CODE_DEPT;NOM_CHF;latitude;longitude;;
87;01;BOURG-EN-BRESSE;46.205168; 5.225501;;
19;02;LAON;49.564133; 3.61989;;
58;03;MOULINS;46.205222; 5.225442;;
33;04;DIGNE-LES-BAINS;44.092193; 6.235976;;
43;05;GAP;44.559638; 6.079758;;
53;06;NICE;43.710173; 7.261953;;
44;07;PRIVAS;44.735269; 4.599039;;
34;08;CHARLEVILLE-MEZIERES;49.762085; 4.726096;;
22;09;FOIX;42.964127; 1.605232;;
7;10;TROYES;48.297345; 4.074401;;
51;11;CARCASSONNE;43.212161; 2.353663;;
76;12;RODEZ;44.349389; 2.575986;;
75;13;MARSEILLE;43.296482; 5.36978;;
13;14;CAEN;49.182863; -0.370679;;
16;15;AURILLAC;44.930953; 2.444997;;
71;16;ANGOULEME;45.648377; 0.156237;;
38;17;LA ROCHELLE;46.160329; -1.151139;;
83;18;BOURGES;47.081012; 2.398782;;
39;19;TULLE;45.26565; 1.771697;;
69;21;DIJON;47.322047; 5.04148;;
46;22;SAINT-BRIEUC;48.51418; -2.765835;;
61;23;GUERET;46.169599; 1.871452;;
27;24;PERIGUEUX;45.184029; 0.721115;;
60;25;BESANCON;47.237829; 6.024054;;
85;26;VALENCE;44.933393; 4.89236;;
45;27;EVREUX;49.027013; 1.151361;;
6;28;CHARTRES;48.443854; 1.489012;;
64;29;QUIMPER;47.997542; -4.097899;;
50;30;NIMES;43.836699; 4.360054;;
74;31;TOULOUSE;43.604652; 1.444209;;
70;32;AUCH;43.64638; 0.586709;;
57;33;BORDEAUX;44.837789; -0.57918;;
84;34;MONTPELLIER;43.610769; 3.876716;;
20;35;RENNES;48.117266; -1.677793;;
62;36;CHATEAUROUX;46.811434; 1.686779;;
29;37;TOURS;47.394144; 0.68484;;
65;38;GRENOBLE;45.188529; 5.724524;;
1;39;LONS-LE-SAUNIER;46.671361; 5.550796;;
12;40;MONT-DE-MARSAN;43.893485; -0.499782;;
94;41;BLOIS;47.586092; 1.335947;;
2;42;SAINT-ETIENNE;45.439695; 4.387178;;
80;43;LE PUY-EN-VELAY;45.042768; 3.882936;;
88;44;NANTES;47.218371; -1.553621;;
17;45;ORLEANS;47.902964; 1.909251;;
73;46;CAHORS;44.447523; 1.441989;;
11;47;AGEN;44.203142; 0.616363;;
32;48;MENDE;44.517611; 3.501873;;
78;49;ANGERS;47.478419; -0.563166;;
77;50;SAINT-LO;49.115469; -1.082814;;
63;51;CHALONS-EN-CHAMPAGNE;48.956682; 4.363073;;
68;52;CHAUMONT;48.113748; 5.139256;;
93;53;LAVAL;48.078515; -0.766991;;
95;54;NANCY;48.692054; 6.184417;;
8;55;BAR-LE-DUC;48.773605; 5.158238;;
91;56;VANNES;47.658236; -2.760847;;
66;57;METZ;49.119309; 6.175716;;
24;58;NEVERS;46.990896; 3.162845;;
81;59;LILLE;50.62925; 3.057256;;
42;60;BEAUVAIS;49.429539; 2.080712;;
9;61;ALENCON;48.432856; 0.091266;;
15;62;ARRAS;50.291002; 2.777535;;
18;63;CLERMONT-FERRAND;45.777222; 3.087025;;
26;64;PAU;43.2951; -0.370797;;
55;65;TARBES;43.232951; 0.078082;;
48;66;PERPIGNAN;42.688659; 2.894833;;
10;67;STRASBOURG;48.573405; 7.752111;;
5;68;COLMAR;48.079359; 7.358512;;
28;69;LYON;45.764043; 4.835659;;
86;70;VESOUL;47.619788; 6.15428;;
21;71;MACON;46.306884; 4.828731;;
72;72;LE MANS;48.00611; 0.199556;;
54;73;CHAMBERY;45.564601; 5.917781;;
56;74;ANNECY;45.899247; 6.129384;;
36;75;PARIS;48.856614; 2.352222;;
3;76;ROUEN;49.443232; 1.099971;;
52;77;MELUN;48.542105; 2.6554;;
23;78;VERSAILLES;48.801408; 2.130122;;
96;79;NIORT;46.323716; -0.464777;;
82;80;AMIENS;49.894067; 2.295753;;
35;81;ALBI;43.925085; 2.148641;;
37;82;MONTAUBAN;44.022125; 1.35296;;
41;83;TOULON;43.124228; 5.928;;
67;84;AVIGNON;43.949317; 4.805528;;
25;85;LA ROCHE-SUR-YON;46.670511; -1.426442;;
59;86;POITIERS;46.580224; 0.340375;;
40;87;LIMOGES;45.833619; 1.261105;;
31;88;EPINAL;48.172402; 6.449403;;
4;89;AUXERRE;47.798202; 3.573781;;
92;90;BELFORT;47.639674; 6.863849;;
89;91;EVRY;48.629828; 2.441782;;
30;92;NANTERRE;48.892423; 2.215331;;
14;93;BOBIGNY;48.908612; 2.439712;;
49;94;CRETEIL;48.790367; 2.455572;;
90;95;PONTOISE;49.050966; 2.100645;;
47;2A;AJACCIO;41.919229; 8.738635;;
79;2B;BASTIA;42.697283; 9.450881;;
